TEAM,A,B,C,D,E,F,G,H
Virginia,34.22,123.4,89.2,59.4,11.18,109.2,98.1,-3.24
Gonzaga,32.85,124.5,91.6,70.2,4.46,106.9,102.5,1.87
Michigan St.,30.81,121,90.2,66.9,13.67,110.6,96.9,3.24
Duke,30.62,120,89.3,72.1,12.85,110.7,97.8,5.08
Texas Tech,30.03,114.1,84.1,66.6,11.18,109.8,98.7,-5.39
Michigan,28.32,114.5,86.2,64.8,11.27,109.2,98,-5.42
North Carolina,27.69,119.7,92,74.3,12.6,110.7,98.1,5.69
Kentucky,27.57,117.6,90.1,65.6,11.32,110.7,99.4,1.75
Purdue,26.81,122.5,95.6,65.9,13.16,110.3,97.1,4.09
Tennessee,26.24,122.7,96.5,67.8,10.69,109.7,99,0.92
Auburn ,25,120.9,95.9,67.9,12.23,110.7,98.5,2.63
Houston,24.13,115.3,91.2,66.1,4.45,105.7,101.3,-4.16
Virginia Tech,24.07,118.1,94,63.7,8.47,108.3,99.9,-6.26
Florida St. ,22.39,112.8,90.4,68.6,10.46,109.8,99.3,0.93
Iowa St.,22.09,118.9,96.8,67.7,10.78,109.3,98.5,-1.56
Wisconsin,21.94,110.4,88.5,63.9,12.97,110.3,97.3,3.14
Kansas,21.57,113.9,92.3,70.1,14.13,111.8,97.7,10.36
Wofford,20.69,118.1,97.4,65.7,1.82,106,104.2,8.37
LSU,20.22,117.7,97.5,70,10.02,109.3,99.3,2.77
Kansas St.,20.06,108.4,88.4,63.4,10.22,109.3,99.1,-0.96
Mississippi St.,20.04,117.7,97.6,67.8,10.09,110.1,100,2.22
Buffalo,19.85,115.2,95.4,73.6,3.14,105.5,102.4,1.15
Louisville,19.35,113.7,94.4,67.2,11.95,110.4,98.4,5.36
Maryland,19.29,113.4,94.1,66,10.75,109.8,99.1,-4.92
Florida,18.3,110.5,92.2,62.9,12,110.7,98.7,5.12
Nevada,18.18,114,95.9,69.3,1.42,105.4,103.9,1.79
Oregon,17.86,109.5,91.7,64.2,5.47,107.7,102.3,0.43
Cincinnati,17.5,112.3,94.8,63.4,5.12,107.1,102,-2.85
Villanova,17.33,116.5,99.2,63.6,8,108.8,100.8,3.32
Saint Mary's,17.31,114.7,97.4,62.7,3.66,106.6,103,-0.9
Oklahoma,16.94,111.1,94.1,68.6,13.27,110.3,97.1,7.44
Marquette,16.52,113.2,96.7,68.8,6.77,107.4,100.7,0.29